trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9327999999999981}",45,0,-203.93752352198166,"{0: 29, 1: 5, 2: 5, 3: 4, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.931199999999998}",25,0,-52.80339007029995,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.929599999999998}",20,0,-108.38554226521285,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9279999999999979}",30,0,-121.56212067136853,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9263999999999979}",40,0,-252.1398706271992,"{0: 26, 1: 3, 2: 5, 3: 1, 4: 5}",0
47,False,"{'a': 0.5, 'e': 0.9247999999999978}",40,0,-216.87220621581852,"{0: 26, 1: 5, 2: 4, 3: 1, 4: 4}",1
48,False,"{'a': 0.5, 'e': 0.9231999999999978}",45,0,-173.24100246359154,"{0: 25, 1: 9, 2: 8, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9215999999999978}",35,0,-182.41959864253045,"{0: 21, 1: 5, 2: 4, 3: 3, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9199999999999977}",30,0,-123.47663179333108,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9183999999999977}",35,0,-170.84797614077675,"{0: 24, 1: 3, 2: 2, 3: 4, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9167999999999976}",30,0,-117.95202815113682,"{0: 19, 1: 3, 2: 4, 3: 4, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9151999999999976}",35,13,-157.54871786280157,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 3}",1
54,False,"{'a': 0.5, 'e': 0.9135999999999975}",20,0,-86.53153602354692,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9119999999999975}",30,5,-117.5440442445574,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.9103999999999974}",20,0,-18.062107874799025,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9087999999999974}",30,0,-168.7357366791823,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9071999999999973}",25,0,-145.07466978015592,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9055999999999973}",25,0,-78.16345104728305,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9039999999999973}",20,0,-124.03517497875434,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9023999999999972}",25,7,-76.84978037558825,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 1}",1
